Date,US10Y,US2Y,German10Y,German2Y
"4/8/2021","1.64","0.14","-0.33","-0.72"
"4/9/2021","1.67","0.16","-0.30","-0.71"
"4/12/2021","1.69","0.18","-0.29","-0.71"
"4/13/2021","1.64","0.16","-0.29","-0.71"
"4/14/2021","1.64","0.16","-0.27","-0.69"
"4/15/2021","1.56","0.16","-0.30","-0.70"
"4/16/2021","1.59","0.16","-0.27","-0.70"
"4/19/2021","1.61","0.16","-0.24","-0.68"
"4/20/2021","1.58","0.15","-0.26","-0.70"
"4/21/2021","1.57","0.15","-0.26","-0.70"
"4/22/2021","1.57","0.16","-0.26","-0.69"
"4/23/2021","1.58","0.16","-0.26","-0.70"
"4/26/2021","1.58","0.18","-0.26","-0.70"
"4/27/2021","1.63","0.17","-0.25","-0.70"
"4/28/2021","1.63","0.17","-0.23","-0.69"
"4/29/2021","1.65","0.16","-0.19","-0.68"
"4/30/2021","1.65","0.16","-0.20","-0.69"
"5/3/2021","1.63","0.16","-0.21","-0.69"
"5/4/2021","1.61","0.16","-0.24","-0.70"
"5/5/2021","1.59","0.16","-0.23","-0.70"
"5/6/2021","1.58","0.16","-0.23","-0.70"
"5/7/2021","1.60","0.14","-0.22","-0.69"
"5/10/2021","1.63","0.16","-0.21","-0.69"
"5/11/2021","1.64","0.16","-0.16","-0.68"
"5/12/2021","1.69","0.16","-0.13","-0.66"
"5/13/2021","1.66","0.16","-0.11","-0.66"
"5/14/2021","1.63","0.16","-0.13","-0.66"
"5/17/2021","1.64","0.16","-0.12","-0.66"
"5/18/2021","1.64","0.16","-0.11","-0.66"
"5/19/2021","1.68","0.16","-0.11","-0.67"
"5/20/2021","1.63","0.15","-0.11","-0.66"
"5/21/2021","1.63","0.17","-0.13","-0.66"
"5/24/2021","1.61","0.15","-0.14","-0.66"
"5/25/2021","1.56","0.15","-0.17","-0.66"
"5/26/2021","1.58","0.14","-0.20","-0.67"
"5/27/2021","1.61","0.14","-0.17","-0.66"
"5/28/2021","1.58","0.14","-0.19","-0.67"
"5/31/2021","1.58","0.14","-0.17","-0.66"
"6/1/2021","1.62","0.16","-0.18","-0.67"
"6/2/2021","1.59","0.13","-0.20","-0.67"
"6/3/2021","1.63","0.16","-0.19","-0.67"
"6/4/2021","1.56","0.14","-0.21","-0.68"
"6/7/2021","1.57","0.16","-0.20","-0.66"
"6/8/2021","1.53","0.14","-0.22","-0.68"
"6/9/2021","1.50","0.16","-0.25","-0.68"
"6/10/2021","1.45","0.14","-0.25","-0.69"
"6/11/2021","1.47","0.16","-0.27","-0.69"
"6/14/2021","1.51","0.16","-0.26","-0.68"
"6/15/2021","1.51","0.16","-0.23","-0.68"
"6/16/2021","1.57","0.21","-0.25","-0.68"
"6/17/2021","1.52","0.23","-0.24","-0.67"
"6/18/2021","1.45","0.26","-0.21","-0.67"
"6/21/2021","1.50","0.27","-0.18","-0.66"
"6/22/2021","1.48","0.25","-0.16","-0.65"
"6/23/2021","1.50","0.26","-0.18","-0.66"
"6/24/2021","1.49","0.26","-0.19","-0.66"
"6/25/2021","1.54","0.28","-0.16","-0.65"
"6/28/2021","1.49","0.25","-0.19","-0.66"
"6/29/2021","1.49","0.27","-0.17","-0.66"
"6/30/2021","1.45","0.25","-0.20","-0.67"
"7/1/2021","1.48","0.25","-0.20","-0.67"
"7/2/2021","1.44","0.24","-0.24","-0.67"
"7/5/2021","1.44","0.24","-0.21","-0.67"
"7/6/2021","1.37","0.22","-0.27","-0.68"
"7/7/2021","1.33","0.22","-0.29","-0.68"
"7/8/2021","1.30","0.19","-0.31","-0.69"
"7/9/2021","1.37","0.23","-0.29","-0.68"
"7/12/2021","1.38","0.23","-0.30","-0.68"
"7/13/2021","1.42","0.26","-0.30","-0.67"
"7/14/2021","1.37","0.23","-0.31","-0.68"
"7/15/2021","1.31","0.23","-0.33","-0.68"
"7/16/2021","1.31","0.25","-0.35","-0.69"
"7/19/2021","1.19","0.21","-0.39","-0.70"
"7/20/2021","1.23","0.20","-0.41","-0.72"
"7/21/2021","1.30","0.22","-0.40","-0.72"
"7/22/2021","1.27","0.20","-0.42","-0.72"
"7/23/2021","1.30","0.22","-0.41","-0.72"
"7/26/2021","1.29","0.22","-0.41","-0.74"
"7/27/2021","1.25","0.20","-0.44","-0.75"
"7/28/2021","1.26","0.20","-0.45","-0.76"
"7/29/2021","1.28","0.20","-0.45","-0.76"
"7/30/2021","1.24","0.19","-0.46","-0.77"
